"Study","UID","Location","Age","Sex","Trial","Odor","Free"
"Field","F_8","Southwark","Under_50","Female",4,"garlic","garlic"
"Field","F_8","Southwark","Under_50","Female",5,"orange","orange, fruit"
"Field","F_8","Borough","Under_50","Female",1,"orange","orange with chocolate"
"Field","F_8","Borough","Under_50","Female",2,"garlic","garlic"
"Field","F_8","Borough","Under_50","Female",3,"peppermint","peppermint"
"Field","F_8","Borough","Under_50","Female",4,"fish","fish"
"Field","F_8","Borough","Under_50","Female",5,"rose","flower but not rose"
"Field","F_9","Tate","Under_50","Male",1,"orange","mandarin"
"Field","F_9","Tate","Under_50","Male",2,"peppermint","peppermint/mint"
"Field","F_9","Tate","Under_50","Male",3,"rose","none"
"Field","F_9","Tate","Under_50","Male",4,"garlic","garlic"
"Field","F_9","Tate","Under_50","Male",5,"fish","not good"
"Field","F_9","Southwark","Under_50","Male",1,"orange","citric, lime, lemon"
"Field","F_9","Southwark","Under_50","Male",2,"garlic","garlic"
"Field","F_9","Southwark","Under_50","Male",3,"rose","chewing gum, cinnamon"
"Field","F_9","Southwark","Under_50","Male",4,"peppermint","no smell"
"Field","F_9","Southwark","Under_50","Male",5,"fish","glue"
"Field","F_9","Borough","Under_50","Male",1,"garlic","garlic"
"Field","F_9","Borough","Under_50","Male",2,"rose","glue, sewage"
"Field","F_9","Borough","Under_50","Male",3,"fish","not pleasant, wet cloth"
"Field","F_9","Borough","Under_50","Male",4,"peppermint","mint"
"Field","F_9","Borough","Under_50","Male",5,"orange","orange"
"Field","F_10","Tate","Under_50","Female",1,"peppermint","mint"
"Field","F_10","Tate","Under_50","Female",2,"fish","fish"
"Field","F_10","Tate","Under_50","Female",3,"orange","maybe flavoured chocolate"
"Field","F_10","Tate","Under_50","Female",4,"rose","rose"
"Field","F_10","Tate","Under_50","Female",5,"garlic","garlic"
"Field","F_10","Southwark","Under_50","Female",1,"garlic","garlic"
"Field","F_10","Southwark","Under_50","Female",2,"peppermint","mint"
"Field","F_10","Southwark","Under_50","Female",3,"orange","orange"
"Field","F_10","Southwark","Under_50","Female",4,"fish","fish"
"Field","F_10","Southwark","Under_50","Female",5,"rose","rose"
"Field","F_10","Borough","Under_50","Female",1,"rose","rose"
"Field","F_10","Borough","Under_50","Female",2,"fish","fish"
"Field","F_10","Borough","Under_50","Female",3,"orange","orange"
"Field","F_10","Borough","Under_50","Female",4,"garlic","garlic"
"Field","F_10","Borough","Under_50","Female",5,"peppermint","mint"
